OldVel_X	OldVel_Y	NewVel_X	NewVel_Y
0.432	0.0155	0.42	-0.001	
0.42	-0.001	0.354	0.0331	
0.354	0.0331	0.387	0.0135	
0.387	0.0135	0.41	-0.00562	
0.41	-0.00562	0.416	-0.0121	
0.416	-0.0121	0.405	0.0258	
0.405	0.0258	0.362	0.022	
0.362	0.022	0.364	0.00829	
0.364	0.00829	0.457	0.0139	
0.457	0.0139	0.405	0.0155	
0.405	0.0155	0.356	0.00378	
0.362	0.0885	0.456	-0.0135	
0.456	-0.0135	0.409	-0.0113	
0.397	0.0244	0.348	-0.0127	
0.348	-0.0127	0.48	0.00257	
0.48	0.00257	0.361	0.0111	
0.361	0.0111	0.425	0.0118	
0.425	0.0118	0.373	0.0128	
0.373	0.0128	0.432	-0.029	
0.432	-0.029	0.383	-0.00353	
0.383	-0.00353	0.413	-0.0112	
0.413	-0.0112	0.414	0.00259	
0.414	0.00259	0.411	0.00968	
0.497	-0.0811	0.425	0.0363	
0.425	0.0363	0.378	0.0179	
0.378	0.0179	0.41	-0.00371	
0.41	-0.00371	0.413	0.00928	
0.413	0.00928	0.379	-0.012	
0.311	-0.0923	0.435	-0.0894	
0.435	-0.0894	0.443	0.0101	
0.443	0.0101	0.389	-0.00923	
0.311	0.0294	0.371	-0.00187	
0.371	-0.00187	0.382	-0.0116	
0.382	-0.0116	0.368	-0.0566	
-0.327	0.088	-0.255	0.357	
-0.255	0.357	-0.216	0.24	
-0.216	0.24	-0.158	0.317	
-0.158	0.317	-0.108	0.22	
-0.108	0.22	-0.0431	0.272	
-0.109	0.169	0.0589	0.323	
0.0309	0.382	0.0636	0.482	
0.00429	0.397	0.0633	0.351	
0.0747	0.314	0.0847	0.495	
0.0341	0.59	0.0781	0.378	
0.0816	0.324	0.0497	0.316	
0.0762	0.279	0.0691	0.39	
0.0402	0.308	0.069	0.408	
0.0596	0.356	0.0536	0.384	
0.147	0.389	0.00655	0.413	
0.0746	0.379	0.0544	0.405	
0.0509	0.326	0.0332	0.188	
0.0491	0.214	0.22	1.05	
0.22	1.05	0.162	0.843	
0.37	0.0219	0.436	0.00763	
0.436	0.00763	0.357	-0.00954	
0.357	-0.00954	0.416	-0.0113	
0.416	-0.0113	0.352	0.00927	
0.352	0.00927	0.442	0.0046	
0.442	0.0046	0.449	-0.00221	
0.449	-0.00221	0.387	0.00878	
0.387	0.00878	0.354	-0.00959	
0.354	-0.00959	0.442	-0.00641	
0.442	-0.00641	0.369	-0.00627	
0.369	-0.00627	0.406	-0.0125	
0.314	0.00537	0.488	0.000543	
0.488	0.000543	0.389	0.00178	
0.389	0.00178	0.45	-0.00207	
0.45	-0.00207	0.347	0.000889	
0.347	0.000889	0.326	-0.00665	
0.326	-0.00665	0.274	0.00861	
0.417	-0.11	0.435	-0.0787	
0.435	-0.0787	0.382	-0.0603	
0.382	-0.0603	0.459	-0.0618	
0.459	-0.0618	0.429	-0.067	
0.429	-0.067	0.456	-0.0763	
0.456	-0.0763	0.387	-0.0137	
0.387	-0.0137	0.428	-0.0261	
0.428	-0.0261	0.387	-0.0151	
0.387	-0.0151	0.324	-0.0447	
0.324	-0.0447	0.466	-0.0617	
