OldVel_X	OldVel_Y	NewVel_X	NewVel_Y
0.39	0.0162	0.383	0.0127	
0.383	0.0127	0.457	0.0178	
0.457	0.0178	0.361	-0.000401	
0.361	-0.000401	0.432	-0.00296	
0.432	-0.00296	0.377	0.0338	
0.377	0.0338	0.422	0.0283	
0.422	0.0283	0.367	0.0469	
0.367	0.0469	0.392	0.0194	
0.392	0.0194	0.416	-0.00318	
0.416	-0.00318	0.409	-0.0191	
0.409	-0.0191	0.363	0.0146	
0.292	0.000896	0.338	3.34e-05	
0.393	0.0566	0.392	0.00694	
0.366	0.0584	0.447	0.0154	
0.447	0.0154	0.338	-0.0078	
0.351	0.00307	0.428	-0.0159	
0.515	0.0326	0.422	0.0127	
0.422	0.0127	0.364	-0.00147	
0.335	0.0821	0.418	-0.00205	
0.361	0.0644	0.367	0.00944	
0.411	-0.00581	0.44	-6.11e-05	
0.44	-6.11e-05	0.379	-0.00416	
0.484	-0.037	0.392	-0.028	
0.392	-0.028	0.389	-0.00473	
0.387	0.0447	0.452	-0.0118	
0.452	-0.0118	0.4	-0.0117	
-0.42	0.197	-0.281	0.245	
-0.281	0.245	-0.233	0.281	
-0.233	0.281	-0.22	0.309	
-0.22	0.309	-0.181	0.32	
-0.181	0.32	-0.108	0.21	
-0.108	0.21	-0.0143	0.268	
-0.165	0.254	0.0547	0.391	
-0.115	0.311	0.0906	0.451	
0.0834	0.388	0.0691	0.422	
0.124	0.399	0.0505	0.365	
0.137	0.352	0.0702	0.313	
0.0544	0.273	0.0976	0.454	
0.133	0.456	0.0717	0.431	
0.114	0.334	0.0895	0.409	
0.147	0.329	0.063	0.37	
0.108	0.336	0.0497	0.358	
0.0496	0.374	0.115	0.403	
0.136	0.345	0.0304	0.411	
0.0595	0.359	0.135	0.404	
0.0677	0.308	0.0232	0.331	
0.0618	0.32	0.0681	0.41	
0.0542	0.349	0.0403	0.447	
0.0403	0.447	0.0277	0.394	
0.017	0.38	0.0365	0.4	
0.0141	0.313	0.0238	0.194	
0.0949	0.201	0.19	0.306	
0.346	-0.00444	0.43	-0.0107	
0.43	-0.0107	0.207	-0.131	
0.294	0	0.623	0.112	
0.623	0.112	0.33	-0.00478	
0.33	-0.00478	0.46	0.000897	
0.46	0.000897	0.427	-0.00527	
0.506	0.0428	0.333	0.00976	
0.333	0.00976	0.471	0.00753	
0.471	0.00753	0.35	-0.0116	
0.35	-0.0116	0.455	-0.0202	
0.455	-0.0202	0.453	-0.0085	
0.453	-0.0085	0.368	0.0131	
0.34	0.0539	0.437	0.0232	
0.373	0.0194	0.4	0.00878	
0.4	0.00878	0.441	0.0101	
0.424	-0.0792	0.36	-0.0618	
0.36	-0.0618	0.42	-0.054	
0.42	-0.054	0.429	-0.0322	
0.429	-0.0322	0.189	0.00883	
0.189	0.00883	0.681	-0.0853	
0.681	-0.0853	0.709	-0.0679	
0.702	-0.113	1.11	-0.0769	
1.11	-0.0769	0.276	-0.0353	
-0.374	0.263	-0.229	0.32	
-0.365	0.146	-0.189	0.279	
-0.189	0.279	-0.199	0.301	
-0.199	0.301	-0.0992	0.194	
-0.0992	0.194	-0.0612	0.293	
-0.227	0.304	0.0353	0.345	
0.0118	0.286	0.0616	0.388	
0.0185	0.368	0.125	0.459	
-0.0488	0.425	0.0447	0.401	
0.12	0.314	0.0399	0.41	
0.0399	0.41	0.0616	0.355	
0.0463	0.256	0.0655	0.469	
0.0842	0.383	0.0458	0.323	
0.041	0.237	0.0489	0.436	
0.0489	0.436	0.0455	0.397	
0.00917	0.299	0.0211	0.157	
0.0289	0.228	0.0854	0.581	
0.0854	0.581	0.139	0.645	
0.139	0.645	0.189	0.763	
0.189	0.763	0.107	0.506	
0.107	0.506	0.0551	0.437	
0.0926	0.436	0.0378	0.409	
0.0496	0.345	0.0591	0.386	
0.0804	0.316	0.0676	0.376	
