OldAcc_X	OldAcc_Y	NewAcc_X	NewAcc_Y
-0.0625	-0.0307	-0.0131	-0.00598	
-0.0131	-0.00598	0.143	0.00975	
0.143	0.00975	-0.174	-0.0332	
-0.174	-0.0332	0.141	-0.00508	
0.141	-0.00508	-0.086	0.0568	
-0.086	0.0568	0.0903	-0.0111	
0.0903	-0.0111	-0.0931	0.0316	
-0.0931	0.0316	0.0431	-0.0472	
0.0431	-0.0472	0.0479	-0.0443	
0.0479	-0.0443	-0.0129	-0.0299	
-0.0129	-0.0299	-0.0781	0.057	
-0.0781	0.057	0.0645	-0.00121	
0.0645	-0.00121	-0.00171	-0.0861	
-0.00171	-0.0861	0.157	-0.083	
0.157	-0.083	-0.169	-0.0359	
-0.169	-0.0359	0.158	-0.039	
0.158	-0.039	-0.164	-0.0352	
-0.164	-0.0352	-0.0777	-0.019	
-0.0777	-0.019	0.15	-0.152	
0.15	-0.152	0.0111	-0.0947	
0.0405	-0.0329	0.0559	0.0113	
0.0559	0.0113	-0.063	-0.00425	
0.0145	-0.0828	-0.155	0.0153	
-0.155	0.0153	-0.00306	0.024	
-0.00306	0.024	0.13	-0.112	
0.13	-0.112	-0.0897	4.99e-05	
-0.15	0.211	0.121	0.0422	
0.121	0.0422	0.0766	0.0572	
0.0766	0.0572	0.0214	0.0458	
0.0214	0.0458	0.0347	0.00997	
0.0347	0.00997	0.0475	-0.0717	
0.0475	-0.0717	0.061	0.0379	
0.061	0.0379	0.241	0.15	
0.241	0.15	0.273	0.186	
0.273	0.186	-0.0174	0.0417	
-0.0174	0.0417	-0.125	-0.0574	
-0.125	-0.0574	-0.0889	-0.0512	
-0.0889	-0.0512	0.054	0.226	
0.054	0.226	-0.107	-0.0446	
-0.107	-0.0446	-0.0428	0.13	
-0.0428	0.13	-0.105	0.051	
-0.105	0.051	-0.0742	0.0275	
-0.0742	0.0275	0.0869	0.0377	
0.0869	0.0377	-0.176	0.11	
-0.176	0.11	0.0921	0.0547	
0.0921	0.0547	-0.0639	0.0328	
-0.0639	0.0328	0.012	0.172	
0.012	0.172	-0.0229	0.16	
-0.0229	0.16	-0.014	-0.0583	
-0.014	-0.0583	0.0334	0.0347	
0.0334	0.0347	0.00701	-0.0868	
0.00701	-0.0868	0.101	0.111	
-0.13	0.00197	0.136	-0.0103	
0.136	-0.0103	-0.336	-0.182	
-0.336	-0.182	0.522	0.178	
0.522	0.178	-0.322	-0.128	
-0.322	-0.128	0.266	0.0117	
0.266	0.0117	-0.0423	-0.00798	
-0.0423	-0.00798	-0.241	-0.0459	
-0.241	-0.0459	0.288	-0.00467	
0.288	-0.00467	-0.12	-0.0191	
-0.12	-0.0191	0.205	-0.0166	
0.205	-0.0166	-0.00364	0.0202	
-0.00364	0.0202	-0.0942	0.0238	
-0.0942	0.0238	0.113	-0.036	
0.113	-0.036	0.0371	-0.0148	
0.0371	-0.0148	0.0667	0.00203	
0.0887	-0.0419	-0.0942	0.0254	
-0.0942	0.0254	0.0626	0.00799	
0.0626	0.00799	0.0147	0.0378	
0.0147	0.0378	-0.163	0.0279	
-0.163	0.0279	0.831	-0.159	
0.831	-0.159	0.0905	0.0564	
0.0905	0.0564	1.68	0.148	
1.68	0.148	-1.06	0.0533	
-0.0331	0.158	0.17	0.0676	
0.17	0.0676	0.177	0.133	
0.177	0.133	-0.0141	0.029	
-0.0141	0.029	0.0591	-0.0629	
0.0591	-0.0629	0.0288	0.0749	
0.0288	0.0749	0.26	0.0402	
0.26	0.0402	0.0536	0.11	
0.0536	0.11	0.179	0.154	
0.179	0.154	0.14	-0.0362	
0.14	-0.0362	-0.113	0.136	
-0.113	0.136	0.0318	-0.0801	
0.0318	-0.0801	0.0287	0.318	
0.0287	0.318	-0.0539	-0.0848	
-0.0539	-0.0848	0.0128	0.322	
0.0128	0.322	-0.004	-0.0448	
-0.004	-0.0448	0.00758	-0.0902	
0.00758	-0.0902	0.103	0.645	
0.103	0.645	0.0933	0.111	
0.0933	0.111	0.148	0.349	
0.148	0.349	-0.189	-0.59	
-0.189	-0.59	-0.0758	-0.101	
-0.0758	-0.101	-0.092	-0.0455	
-0.092	-0.0455	0.0122	0.0522	
0.0122	0.0522	-0.0227	0.106	
