CrossWALK	Junction	WallLeft	WallRight
0	2.67	0.71	3	
0	2.43	0.7	2.74	
0	2.21	0.69	0.76	
0	1.96	0.69	0.77	
0	1.74	0.7	0.76	
0	1.53	0.69	0.77	
0	1.33	0.67	0.79	
0	1.07	0.67	0.78	
2.97	0.835	0.66	0.79	
2.73	0.601	0.65	0.8	
2.45	0.344	0.65	0.8	
2.21	0	0.66	3	
1.99	0	1.62	3	
1.75	0	1.63	3	
1.49	0	1.63	3	
1.26	0	0.66	0.79	
1.02	0	0.66	0.79	
0.727	0	0.65	0.8	
0.45	2.99	0.67	0.79	
0.157	2.7	0.68	0.78	
0	2.37	0.69	0.77	
0	2.07	0.68	0.78	
0	1.77	0.68	0.78	
0	1.55	0.66	0.8	
0	1.32	0.65	0.81	
0	0.939	0.65	0.81	
0	0.691	0.64	0.82	
0	0.472	0.65	3	
0	1.34	0.7	0.77	
0	1.17	0.69	0.78	
0	1.04	1.18	3	
0	1.42	1.18	3	
0	1.11	1.19	0.75	
0	0.808	1.24	0.71	
2.22	1.07	3	3	
2.01	0.854	3	0.8	
1.63	0.556	3	3	
1.25	0	2.84	1.14	
0.894	0	0.8	1.2	
0.617	0	0.87	1.13	
0	0	0.92	0.82	
0	0	0.95	0.77	
0	0	1.08	0.99	
0	0	1.15	0.93	
0	0	1.18	0.89	
0	0	1.16	0.84	
0	0	1.2	0.8	
0	0	1.25	0.48	
0	2.91	1.25	0.48	
0	2.65	1.29	0.71	
0	2.42	1.34	0.66	
0	2.14	1.41	0.59	
0	1.95	1.45	0.55	
2.01	0	0.77	3	
1.77	0	1.59	3	
1.4	0	1.6	0.81	
1.17	0	0.64	0.81	
0.939	0	0.65	0.81	
0.714	0	0.64	0.81	
0.41	2.95	0.64	0.82	
0.138	2.66	0.65	0.81	
0	2.36	0.65	0.81	
0	2.09	0.66	0.8	
0	1.75	0.67	0.79	
0	1.52	0.67	0.79	
0	1.24	0.67	0.79	
0	0.919	0.67	0.79	
0	0.656	0.67	0.79	
0	0.446	0.67	3	
0	0.254	0.65	3	
0	2.24	1.02	0.93	
0	1.92	1.08	0.87	
0	1.72	1.11	0.84	
0	1.44	1.16	0.79	
0	1.26	0.73	0.75	
0	1.06	1.21	3	
0	0.975	1.23	3	
0	1.34	1.23	3	
0	1.04	1.28	0.67	
0	0.817	1.1	0.62	
