CrossWALK	Junction	WallLeft	WallRight	NewVel_X	NewVel_Y
0	2.67	0.71	3	0.42	-0.001	
0	2.43	0.7	2.74	0.354	0.0331	
0	2.21	0.69	0.76	0.387	0.0135	
0	1.96	0.69	0.77	0.41	-0.00562	
0	1.74	0.7	0.76	0.416	-0.0121	
0	1.53	0.69	0.77	0.405	0.0258	
0	1.33	0.67	0.79	0.362	0.022	
0	1.07	0.67	0.78	0.364	0.00829	
2.97	0.835	0.66	0.79	0.457	0.0139	
2.73	0.601	0.65	0.8	0.405	0.0155	
2.45	0.344	0.65	0.8	0.356	0.00378	
2.21	0	0.66	3	0.456	-0.0135	
1.99	0	1.62	3	0.409	-0.0113	
1.75	0	1.63	3	0.348	-0.0127	
1.49	0	1.63	3	0.48	0.00257	
1.26	0	0.66	0.79	0.361	0.0111	
1.02	0	0.66	0.79	0.425	0.0118	
0.727	0	0.65	0.8	0.373	0.0128	
0.45	2.99	0.67	0.79	0.432	-0.029	
0.157	2.7	0.68	0.78	0.383	-0.00353	
0	2.37	0.69	0.77	0.413	-0.0112	
0	2.07	0.68	0.78	0.414	0.00259	
0	1.77	0.68	0.78	0.411	0.00968	
0	1.55	0.66	0.8	0.425	0.0363	
0	1.32	0.65	0.81	0.378	0.0179	
0	0.939	0.65	0.81	0.41	-0.00371	
0	0.691	0.64	0.82	0.413	0.00928	
0	0.472	0.65	3	0.379	-0.012	
0	1.34	0.7	0.77	0.435	-0.0894	
0	1.17	0.69	0.78	0.443	0.0101	
0	1.04	1.18	3	0.389	-0.00923	
0	1.42	1.18	3	0.371	-0.00187	
0	1.11	1.19	0.75	0.382	-0.0116	
0	0.808	1.24	0.71	0.368	-0.0566	
2.22	1.07	3	3	-0.255	0.357	
2.01	0.854	3	0.8	-0.216	0.24	
1.63	0.556	3	3	-0.158	0.317	
1.25	0	2.84	1.14	-0.108	0.22	
0.894	0	0.8	1.2	-0.0431	0.272	
0.617	0	0.87	1.13	0.0589	0.323	
0	0	0.92	0.82	0.0636	0.482	
0	0	0.95	0.77	0.0633	0.351	
0	0	1.08	0.99	0.0847	0.495	
0	0	1.15	0.93	0.0781	0.378	
0	0	1.18	0.89	0.0497	0.316	
0	0	1.16	0.84	0.0691	0.39	
0	0	1.2	0.8	0.069	0.408	
0	0	1.25	0.48	0.0536	0.384	
0	2.91	1.25	0.48	0.00655	0.413	
0	2.65	1.29	0.71	0.0544	0.405	
0	2.42	1.34	0.66	0.0332	0.188	
0	2.14	1.41	0.59	0.22	1.05	
0	1.95	1.45	0.55	0.162	0.843	
2.01	0	0.77	3	0.436	0.00763	
1.77	0	1.59	3	0.357	-0.00954	
1.4	0	1.6	0.81	0.416	-0.0113	
1.17	0	0.64	0.81	0.352	0.00927	
0.939	0	0.65	0.81	0.442	0.0046	
0.714	0	0.64	0.81	0.449	-0.00221	
0.41	2.95	0.64	0.82	0.387	0.00878	
0.138	2.66	0.65	0.81	0.354	-0.00959	
0	2.36	0.65	0.81	0.442	-0.00641	
0	2.09	0.66	0.8	0.369	-0.00627	
0	1.75	0.67	0.79	0.406	-0.0125	
0	1.52	0.67	0.79	0.488	0.000543	
0	1.24	0.67	0.79	0.389	0.00178	
0	0.919	0.67	0.79	0.45	-0.00207	
0	0.656	0.67	0.79	0.347	0.000889	
0	0.446	0.67	3	0.326	-0.00665	
0	0.254	0.65	3	0.274	0.00861	
0	2.24	1.02	0.93	0.435	-0.0787	
0	1.92	1.08	0.87	0.382	-0.0603	
0	1.72	1.11	0.84	0.459	-0.0618	
0	1.44	1.16	0.79	0.429	-0.067	
0	1.26	0.73	0.75	0.456	-0.0763	
0	1.06	1.21	3	0.387	-0.0137	
0	0.975	1.23	3	0.428	-0.0261	
0	1.34	1.23	3	0.387	-0.0151	
0	1.04	1.28	0.67	0.324	-0.0447	
0	0.817	1.1	0.62	0.466	-0.0617	
