CrossWALK	Junction	WallLeft	WallRight	NewVel_X	NewVel_Y
0	2.62	0.73	3	0.383	0.0127	
0	2.38	0.73	2.7	0.457	0.0178	
0	2.19	0.73	0.72	0.361	-0.000401	
0	1.97	0.73	0.73	0.432	-0.00296	
0	1.73	0.71	0.75	0.377	0.0338	
0	1.52	0.69	0.77	0.422	0.0283	
0	1.3	0.66	0.8	0.367	0.0469	
0	1.08	0.65	0.8	0.392	0.0194	
3	0.869	0.65	0.81	0.416	-0.00318	
2.78	0.653	0.66	0.8	0.409	-0.0191	
2.57	0.446	0.66	0.79	0.363	0.0146	
2.33	0.229	0.66	0.79	0.338	3.34e-05	
2.1	0	0.65	3	0.392	0.00694	
1.87	0	1.6	3	0.447	0.0154	
1.65	0	1.61	3	0.338	-0.0078	
1.44	0	1.62	0.79	0.428	-0.0159	
1.2	0	0.65	0.8	0.422	0.0127	
0.933	0	0.66	0.8	0.364	-0.00147	
0.701	0	0.66	0.8	0.418	-0.00205	
0.491	0	0.66	0.8	0.367	0.00944	
0	0.905	0.65	0.81	0.44	-6.11e-05	
0	0.558	0.65	0.81	0.379	-0.00416	
0	1.44	0.6	0.87	0.392	-0.028	
0	1.23	0.61	0.86	0.389	-0.00473	
0	1.14	1.09	3	0.452	-0.0118	
0	1.08	1.1	3	0.4	-0.0117	
2.47	1.29	3	3	-0.281	0.245	
2.25	1.06	3	3	-0.233	0.281	
2.03	0.837	3	0.86	-0.22	0.309	
1.63	0.478	3	1.06	-0.181	0.32	
1.28	0	2.75	1.23	-0.108	0.21	
0.87	0	0.76	1.25	-0.0143	0.268	
0.566	0	0.81	1.19	0.0547	0.391	
0.401	0	0.88	0.86	0.0906	0.451	
0	0	0.92	1.07	0.0691	0.422	
0	0	1.03	1.04	0.0505	0.365	
0	0	1.1	0.98	0.0702	0.313	
0	0	1.09	0.9	0.0976	0.454	
0	0	1.14	0.86	0.0717	0.431	
0	0	1.19	0.81	0.0895	0.409	
0	0	1.24	0.49	0.063	0.37	
0	2.87	1.28	0.47	0.0497	0.358	
0	2.61	1.36	0.64	0.115	0.403	
0	2.38	1.38	0.62	0.0304	0.411	
0	2.13	1.49	0.51	0.135	0.404	
0	1.94	1.51	0.49	0.0232	0.331	
0	1.78	1.55	0.45	0.0681	0.41	
0	1.59	1.57	0.43	0.0403	0.447	
0	1.37	1.58	0.41	0.0277	0.394	
0	1.27	3	3	0.0365	0.4	
0	1.21	3	3	0.0238	0.194	
0	2.44	3	3	0.19	0.306	
1.82	0	1.6	3	0.43	-0.0107	
1.68	0	1.69	3	0.207	-0.131	
1.29	0	0.66	0.79	0.623	0.112	
0.99	0	0.67	0.79	0.33	-0.00478	
0.766	0	0.67	0.79	0.46	0.000897	
0.437	2.98	0.68	0.78	0.427	-0.00527	
0.203	2.74	0.67	0.79	0.333	0.00976	
0	2.52	0.67	0.79	0.471	0.00753	
0	2.17	0.68	0.78	0.35	-0.0116	
0	1.93	0.69	0.77	0.455	-0.0202	
0	1.67	0.69	0.77	0.453	-0.0085	
0	1.34	0.68	0.78	0.368	0.0131	
0	0.982	0.66	0.8	0.437	0.0232	
0	0.709	0.66	0.8	0.4	0.00878	
0	0.458	0.65	3	0.441	0.0101	
0	1.71	1.07	0.88	0.36	-0.0618	
0	1.38	0.65	0.82	0.42	-0.054	
0	1.22	0.68	0.8	0.429	-0.0322	
0	1.11	1.13	3	0.189	0.00883	
0	1.36	1.19	3	0.681	-0.0853	
0	1.14	1.21	0.78	0.709	-0.0679	
0	0.89	1.22	0.73	1.11	-0.0769	
0	0.697	1.04	0.68	0.276	-0.0353	
2.44	1.25	3	3	-0.229	0.32	
2.11	0.928	3	3	-0.189	0.279	
1.85	0.682	3	0.93	-0.199	0.301	
1.49	0.413	2.95	1.1	-0.0992	0.194	
1.09	0	0.82	1.18	-0.0612	0.293	
0.786	0	0.87	1.13	0.0353	0.345	
0.54	0	0.92	0.81	0.0616	0.388	
0	0	1	0.74	0.125	0.459	
0	0	1.02	0.97	0.0447	0.401	
0	0	1.14	0.94	0.0399	0.41	
0	0	1.18	0.9	0.0616	0.355	
0	0	1.13	0.86	0.0655	0.469	
0	0	1.17	0.83	0.0458	0.323	
0	0	1.2	0.8	0.0489	0.436	
0	0	1.24	0.5	0.0455	0.397	
0	2.82	1.28	0.72	0.0211	0.157	
0	2.53	1.32	0.68	0.0854	0.581	
0	2.21	1.4	0.6	0.139	0.645	
0	2.01	1.47	0.53	0.189	0.763	
0	1.85	1.51	0.49	0.107	0.506	
0	1.64	1.55	0.45	0.0551	0.437	
0	1.48	1.57	0.43	0.0378	0.409	
0	1.33	3	3	0.0591	0.386	
0	1.27	3	3	0.0676	0.376	
