NewVel_X	NewVel_y	NewAcc_X	NewAcc_Y
0.383	0.0127	-0.0131	-0.00598	
0.457	0.0178	0.143	0.00975	
0.361	-0.000401	-0.174	-0.0332	
0.432	-0.00296	0.141	-0.00508	
0.377	0.0338	-0.086	0.0568	
0.422	0.0283	0.0903	-0.0111	
0.367	0.0469	-0.0931	0.0316	
0.392	0.0194	0.0431	-0.0472	
0.416	-0.00318	0.0479	-0.0443	
0.409	-0.0191	-0.0129	-0.0299	
0.363	0.0146	-0.0781	0.057	
0.338	3.34e-05	0.0645	-0.00121	
0.392	0.00694	-0.00171	-0.0861	
0.447	0.0154	0.157	-0.083	
0.338	-0.0078	-0.169	-0.0359	
0.428	-0.0159	0.158	-0.039	
0.422	0.0127	-0.164	-0.0352	
0.364	-0.00147	-0.0777	-0.019	
0.418	-0.00205	0.15	-0.152	
0.367	0.00944	0.0111	-0.0947	
0.44	-6.11e-05	0.0559	0.0113	
0.379	-0.00416	-0.063	-0.00425	
0.392	-0.028	-0.155	0.0153	
0.389	-0.00473	-0.00306	0.024	
0.452	-0.0118	0.13	-0.112	
0.4	-0.0117	-0.0897	4.99e-05	
-0.281	0.245	0.121	0.0422	
-0.233	0.281	0.0766	0.0572	
-0.22	0.309	0.0214	0.0458	
-0.181	0.32	0.0347	0.00997	
-0.108	0.21	0.0475	-0.0717	
-0.0143	0.268	0.061	0.0379	
0.0547	0.391	0.241	0.15	
0.0906	0.451	0.273	0.186	
0.0691	0.422	-0.0174	0.0417	
0.0505	0.365	-0.125	-0.0574	
0.0702	0.313	-0.0889	-0.0512	
0.0976	0.454	0.054	0.226	
0.0717	0.431	-0.107	-0.0446	
0.0895	0.409	-0.0428	0.13	
0.063	0.37	-0.105	0.051	
0.0497	0.358	-0.0742	0.0275	
0.115	0.403	0.0869	0.0377	
0.0304	0.411	-0.176	0.11	
0.135	0.404	0.0921	0.0547	
0.0232	0.331	-0.0639	0.0328	
0.0681	0.41	0.012	0.172	
0.0403	0.447	-0.0229	0.16	
0.0277	0.394	-0.014	-0.0583	
0.0365	0.4	0.0334	0.0347	
0.0238	0.194	0.00701	-0.0868	
0.19	0.306	0.101	0.111	
0.43	-0.0107	0.136	-0.0103	
0.207	-0.131	-0.336	-0.182	
0.623	0.112	0.522	0.178	
0.33	-0.00478	-0.322	-0.128	
0.46	0.000897	0.266	0.0117	
0.427	-0.00527	-0.0423	-0.00798	
0.333	0.00976	-0.241	-0.0459	
0.471	0.00753	0.288	-0.00467	
0.35	-0.0116	-0.12	-0.0191	
0.455	-0.0202	0.205	-0.0166	
0.453	-0.0085	-0.00364	0.0202	
0.368	0.0131	-0.0942	0.0238	
0.437	0.0232	0.113	-0.036	
0.4	0.00878	0.0371	-0.0148	
0.441	0.0101	0.0667	0.00203	
0.36	-0.0618	-0.0942	0.0254	
0.42	-0.054	0.0626	0.00799	
0.429	-0.0322	0.0147	0.0378	
0.189	0.00883	-0.163	0.0279	
0.681	-0.0853	0.831	-0.159	
0.709	-0.0679	0.0905	0.0564	
1.11	-0.0769	1.68	0.148	
0.276	-0.0353	-1.06	0.0533	
-0.229	0.32	0.17	0.0676	
-0.189	0.279	0.177	0.133	
-0.199	0.301	-0.0141	0.029	
-0.0992	0.194	0.0591	-0.0629	
-0.0612	0.293	0.0288	0.0749	
0.0353	0.345	0.26	0.0402	
0.0616	0.388	0.0536	0.11	
0.125	0.459	0.179	0.154	
0.0447	0.401	0.14	-0.0362	
0.0399	0.41	-0.113	0.136	
0.0616	0.355	0.0318	-0.0801	
0.0655	0.469	0.0287	0.318	
0.0458	0.323	-0.0539	-0.0848	
0.0489	0.436	0.0128	0.322	
0.0455	0.397	-0.004	-0.0448	
0.0211	0.157	0.00758	-0.0902	
0.0854	0.581	0.103	0.645	
0.139	0.645	0.0933	0.111	
0.189	0.763	0.148	0.349	
0.107	0.506	-0.189	-0.59	
0.0551	0.437	-0.0758	-0.101	
0.0378	0.409	-0.092	-0.0455	
0.0591	0.386	0.0122	0.0522	
0.0676	0.376	-0.0227	0.106	
